"2024-03-04_12:15:18","0.0235","1.0007"
"2024-03-04_12:15:19","0.0347","1.6500"
"2024-03-04_12:15:20","0.0334","1.4400"
"2024-03-04_12:15:21","0.0169","0.7128"
"2024-03-04_12:15:22","0.0280","1.5300"
"2024-03-04_12:15:23","0.0281","1.2300"
"2024-03-04_12:15:24","0.0208","1.0600"
"2024-03-04_12:15:25","0.0276","1.2600"
"2024-03-04_12:15:26","0.0386","2.0200"
"2024-03-04_12:15:27","0.0425","2.7200"
"2024-03-04_12:15:28","0.0335","1.7600"
"2024-03-04_12:15:30","0.0285","1.4000"
"2024-03-04_12:15:31","0.0391","1.9500"
"2024-03-04_12:15:32","0.0330","1.8000"
"2024-03-04_12:15:33","0.0474","2.4500"
"2024-03-04_12:15:34","0.0302","0.7939"
"2024-03-04_12:15:35","0.0200","1.0700"
"2024-03-04_12:15:36","0.0294","1.4700"
"2024-03-04_12:15:37","0.0324","1.6200"
"2024-03-04_12:15:38","0.0279","1.8000"
"2024-03-04_12:15:39","0.0326","1.2700"
"2024-03-04_12:15:40","0.0280","1.1900"
"2024-03-04_12:15:41","0.0282","1.5800"
"2024-03-04_12:15:42","0.0250","1.3400"
"2024-03-04_12:15:43","0.0331","2.4500"
"2024-03-04_12:15:44","0.1167","2.1100"
"2024-03-04_12:15:45","0.0504","2.9100"
"2024-03-04_12:15:46","0.0320","1.9400"
"2024-03-04_12:15:47","0.0337","1.7800"
"2024-03-04_12:15:48","0.0325","1.5400"
"2024-03-04_12:15:49","0.0284","1.4400"
"2024-03-04_12:15:50","0.0255","1.0400"
"2024-03-04_12:15:51","0.0157","0.7838"
"2024-03-04_12:15:53","0.0269","1.2800"
"2024-03-04_12:15:54","0.0263","1.2700"
"2024-03-04_12:15:55","0.0741","1.3900"
"2024-03-04_12:15:56","0.0301","1.1100"
"2024-03-04_12:15:57","0.0238","0.8969"
"2024-03-04_12:15:58","0.0158","0.9895"
"2024-03-04_12:15:59","0.0296","1.4900"
"2024-03-04_12:16:00","0.0260","1.5700"
"2024-03-04_12:16:01","0.0254","0.6911"
"2024-03-04_12:16:02","0.0175","1.1800"
"2024-03-04_12:16:03","0.0319","1.6800"
"2024-03-04_12:16:04","0.0188","0.7956"
"2024-03-04_12:16:05","0.0953","0.6474"
"2024-03-04_12:16:06","0.0316","0.7484"
"2024-03-04_12:16:07","0.0237","1.2500"
"2024-03-04_12:16:08","0.0242","1.1300"
"2024-03-04_12:16:09","0.0267","0.8838"
"2024-03-04_12:16:10","0.0305","1.1800"
"2024-03-04_12:16:11","0.0246","1.1800"
"2024-03-04_12:16:12","0.0450","1.4600"
"2024-03-04_12:16:13","0.0205","1.0800"
"2024-03-04_12:16:14","0.0329","1.6000"
"2024-03-04_12:16:15","0.0953","1.8500"
"2024-03-04_12:16:16","0.0229","1.0100"
"2024-03-04_12:16:18","0.0231","1.0010"
"2024-03-04_12:16:19","0.0239","1.1500"
"2024-03-04_12:16:20","0.0271","1.3800"
"2024-03-04_12:16:21","0.0325","1.5000"
"2024-03-04_12:16:22","0.0237","1.5200"
"2024-03-04_12:16:23","0.0342","1.7300"
"2024-03-04_12:16:24","0.0385","1.6400"
"2024-03-04_12:16:25","0.0172","1.0800"
"2024-03-04_12:16:26","0.0580","1.7500"
"2024-03-04_12:16:27","0.0292","1.2700"
"2024-03-04_12:16:28","0.0291","1.9500"
"2024-03-04_12:16:29","0.0334","1.6300"
"2024-03-04_12:16:30","0.0220","1.5200"
"2024-03-04_12:16:31","0.0187","0.9947"
"2024-03-04_12:16:32","0.0210","0.8563"
"2024-03-04_12:16:33","0.0130","0.5260"
"2024-03-04_12:16:34","0.0296","0.9932"
"2024-03-04_12:16:36","0.0316","1.0200"
